Class_Name,Description,Type,id,Professor,,Unit,Attributes,Subject,Number,Unit,mon,tues,wed,thur,fri,start_time,end_time,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,dis,3,Departmental Staff,,1,FL,ARABIC,101,0,FALSE,TRUE,FALSE,TRUE,FALSE,1:25PM,2:15PM,,,,,,,,,,,,
ARABIC 101,ELEMENTARY ARABIC,dis,4,Departmental Staff,,1,FL,ARABIC,101,0,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,3:55PM,,,,,,,,,,,,
ARABIC 203,INTERMEDIATE ARABIC,lec,1,Amal Boumaaza,,1,"FL,CZ",ARABIC,203,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:20AM,,,,,,,,,,,,
ARABIC 203,INTERMEDIATE ARABIC,lec,2,Cheikh Saadbouh Cheikh Abdi ValL,,1,"FL,CZ",ARABIC,203,1,TRUE,FALSE,TRUE,FALSE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
ARABIC 203,INTERMEDIATE ARABIC,dis,1,Amal Boumaaza,,1,"FL,CZ",ARABIC,203,0,FALSE,FALSE,FALSE,FALSE,TRUE,10:20AM,11:10AM,,,,,,,,,,,,
ARABIC 203,INTERMEDIATE ARABIC,dis,2,Cheikh Saadbouh Cheikh Abdi ValL,,1,"FL,CZ",ARABIC,203,0,FALSE,FALSE,FALSE,FALSE,TRUE,11:45AM,12:35PM,,,,,,,,,,,,
ARABIC 295,ARABIC DIALECT IN MUSIC,lec,1,Amal Boumaaza,,1,"FL,CZ",ARABIC,295,1,FALSE,TRUE,FALSE,TRUE,FALSE,3:05PM,4:20PM,,,,,,,,,,,,
ARABIC 305,ADVANCED ARABIC,lec,1,Maha Houssami,,1,"CCI,FL,ALP",ARABIC,305,1,TRUE,FALSE,TRUE,FALSE,FALSE,10:05AM,11:30AM,,,,,,,,,,,,
ARABIC 407,ISSUES IN ARABIC LANG/LIT I,lec,1,Maha Houssami,,1,"CCI,FL,ALP",ARABIC,407,1,TRUE,FALSE,TRUE,FALSE,FALSE,11:45AM,1:00PM,,,,,,,,,,,,
ARTHIST 220,MUSEUM THEORY AND PRACTICE,lec,1,Julia K McHugh,,1,"R,ALP",ARTHIST,220,1,FALSE,FALSE,FALSE,TRUE,FALSE,11:45AM,2:15PM,,,,,,,,,,,,
